scheme,n,n_pos,base_rate,roc_auc,pr_auc,p@50,lift@50,r@50,brier,p@10,r@10,lift@10,p@100,r@100,lift@100,roc_auc_fold_mean,roc_auc_fold_std
random,9197,1078,0.1172,0.7425,0.2977,0.62,5.29,0.0288,0.2039,0.0,0.0,0.0,0.69,0.064,5.89,0.7425,0.0057
tax_family,9197,1078,0.1172,0.54,0.1191,0.0,0.0,0.0,0.2336,0.0,0.0,0.0,0.0,0.0,0.0,0.5302,0.0311
tax_genus,6094,958,0.1572,0.6417,0.2442,0.3,1.91,0.0157,0.2225,0.0,0.0,0.0,0.38,0.0397,2.42,0.6466,0.0895
temporal,4598,247,0.0537,0.7507,0.1916,0.12,2.23,0.0243,0.2219,0.0,0.0,0.0,0.28,0.1134,5.21,0.7507,0.0
